نيسان,أبريل
طاهي,طباخ
كانون الأول,ديسمبر
شباط,فبراير
كانون الثاني,يناير
تموز,يوليو
حزيران,يونيو
تشربن الثاني,نوفمبر
تشرين الأول,أكتوبر
موافقة,اتفاق
كرة القاعدة,كرة القاعدة ؛ بيسبول
شاطئ,شّاطئ
يوم ميلاد,عيد ميلاد
باص,حافلة ؛ باص
سري,مستتر
لون,مادة تلوين
جوقة موسيقية,حفلة موسيقية
طاهي,طباخ
أذية,ضرر
تطوير,تطور
قاموس,قاموس ؛ معجم
قاتم,قذر
وحده,وحيداً
منظر,مظهر
إسبع,إصبع
كامل,مليء
حبيبة,بذرة
يد,كف
ثقب,فجوة
رجل,إنسان
مهِم,* ممتِع
مرتفع,صاخب
ولد,صبي
عملية,عملية جراحية
رفع,ارتفع
شراع,حاجز معدني
حمام,دش
سحق,ضغط
إضافة,جمع
جسم,جسد
سكة,سكة حديدية
ريح,رياح
